section,student_id,W0W,W0F,W1M,W1W,W1F,W2M,W2W,W2F,W3M,W3W,W3F,W4M,W4W,W4F,W5M,W5F,W6M,W6W,W6F,W7M,W7W,W8W,W8F,W9M,W9F,W10M,W10W,W10F,W11M,W11W,W11F,W12M,W12W,W12F,W13M,W13W,W14M,W14W
810,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,2,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA
810,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA
810,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,5,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA
810,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,x,NA,NA,NA,NA,x,NA,NA,x,NA,NA,x,NA,NA,x,NA,x,x,NA
810,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,8,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,x,NA,NA,x,NA,x,NA,NA,NA,NA,x,x,NA,NA,x,NA,x,x,NA
810,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA
810,10,NA,NA,x,x,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,x,NA,NA,NA,x,NA,NA,x,NA,x,NA,NA,x,NA,NA,x,x,x,x,x,NA,x,NA
810,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA
810,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA
810,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,x,x,NA,x,NA
810,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,20,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,x,NA,x,x,x,NA,x,NA
810,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA
810,22,NA,NA,NA,NA,x,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA
810,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA
810,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA
810,27,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,x,NA,x,x,NA,NA,x,NA,NA,x,NA,NA,NA
810,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,1,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA
920,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA
920,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,x,NA,NA,NA,NA
920,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA
920,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,x,NA,NA,NA,x,NA,x,NA,x,x,NA,NA,x,NA,NA,x,NA
920,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA
920,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA
920,10,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,x,NA,x,NA,NA,x,NA,NA,NA,NA
920,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA
920,12,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA,x,NA,NA,NA,NA,x,NA,x,NA,x,x,NA,x,NA,NA,x,NA,NA,x,x,NA,NA,NA
920,13,NA,NA,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,NA,x,NA,NA
920,14,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA
920,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,16,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA
920,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,18,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,x,NA
920,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA
920,21,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA
920,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,x,NA,NA,NA,NA
920,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA
920,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA
920,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA
920,26,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,x,NA,NA,x,NA,NA,x,NA,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA,x,NA,NA,x,NA,NA,x,NA
